experiment,dataset,method,n_clients,seed,metric,value,scenario
exp2_topology,narma10,random,,1.0,clustering,0.1935106396818341,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 1}"
exp2_topology,narma10,random,,1.0,avg_path_length,1.806532663316583,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 1}"
exp2_topology,narma10,random,,2.0,nrmse,0.1895780624165541,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 2}"
exp2_topology,narma10,random,,2.0,mean_degree,38.35,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 2}"
exp2_topology,narma10,random,,2.0,clustering,0.1929669362775598,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 2}"
exp2_topology,narma10,random,,2.0,avg_path_length,1.8078391959798996,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 2}"
exp2_topology,narma10,random,,3.0,nrmse,0.2894563073456743,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 3}"
exp2_topology,narma10,random,,3.0,mean_degree,37.65,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 3}"
exp2_topology,narma10,random,,3.0,clustering,0.1906424705403767,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 3}"
exp2_topology,narma10,random,,3.0,avg_path_length,1.8110552763819092,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 3}"
exp2_topology,narma10,random,,4.0,nrmse,0.2385242855971882,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 4}"
exp2_topology,narma10,random,,4.0,mean_degree,36.97,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 4}"
exp2_topology,narma10,random,,4.0,clustering,0.1858837111083082,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 4}"
exp2_topology,narma10,random,,4.0,avg_path_length,1.8155276381909549,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 4}"
exp2_topology,narma10,random,,5.0,nrmse,0.2050195728759073,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 5}"
exp2_topology,narma10,random,,5.0,mean_degree,37.73,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 5}"
exp2_topology,narma10,random,,5.0,clustering,0.1905404084162558,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 5}"
exp2_topology,narma10,random,,5.0,avg_path_length,1.8112060301507535,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 5}"
exp2_topology,narma10,random,,6.0,nrmse,0.2597646452217781,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 6}"
exp2_topology,narma10,random,,6.0,mean_degree,37.95,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 6}"
exp2_topology,narma10,random,,6.0,clustering,0.1884962656742153,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 6}"
exp2_topology,narma10,random,,6.0,avg_path_length,1.809698492462312,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 6}"
exp2_topology,narma10,random,,7.0,nrmse,0.2494029889885469,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 7}"
exp2_topology,narma10,random,,7.0,mean_degree,38.25,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 7}"
exp2_topology,narma10,random,,7.0,clustering,0.1911567004481247,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 7}"
exp2_topology,narma10,random,,7.0,avg_path_length,1.8080402010050247,"{""task"": ""narma10"", ""topology"": ""random"", ""seed"": 7}"
exp2_topology,narma10,small_world,,0.0,nrmse,0.2284259573887205,"{""task"": ""narma10"", ""topology"": ""small_world"", ""seed"": 0}"
exp2_topology,narma10,small_world,,0.0,mean_degree,10.0,"{""task"": ""narma10"", ""topology"": ""small_world"", ""seed"": 0}"
exp2_topology,narma10,small_world,,0.0,clustering,0.4920500333000333,"{""task"": ""narma10"", ""topology"": ""small_world"", ""seed"": 0}"
exp2_topology,narma10,small_world,,0.0,avg_path_length,3.197889447236181,"{""task"": ""narma10"", ""topology"": ""small_world"", ""seed"": 0}"
exp2_topology,narma10,small_world,,1.0,nrmse,0.2085138560927213,"{""task"": ""narma10"", ""topology"": ""small_world"", ""seed"": 1}"
exp2_topology,narma10,small_world,,1.0,mean_degree,10.0,"{""task"": ""narma10"", ""topology"": ""small_world"", ""seed"": 1}"
exp2_topology,narma10,small_world,,1.0,clustering,0.5095397657897658,"{""task"": ""narma10"", ""topology"": ""small_world"", ""seed"": 1}"
exp2_topology,narma10,small_world,,1.0,avg_path_length,3.2760804020100505,"{""task"": ""narma10"", ""topology"": ""small_world"", ""seed"": 1}"
exp2_topology,narma10,small_world,,2.0,nrmse,0.2228522461564703,"{""task"": ""narma10"", ""topology"": ""small_world"", ""seed"": 2}"
exp2_topology,narma10,small_world,,2.0,mean_degree,10.0,"{""task"": ""narma10"", ""topology"": ""small_world"", ""seed"": 2}"
exp2_topology,narma10,small_world,,2.0,clustering,0.4955948773448773,"{""task"": ""narma10"", ""topology"": ""small_world"", ""seed"": 2}"
exp2_topology,narma10,small_world,,2.0,avg_path_length,3.2139195979899498,"{""task"": ""narma10"", ""topology"": ""small_world"", ""seed"": 2}"
exp2_topology,narma10,small_world,,3.0,nrmse,0.2645962572405766,"{""task"": ""narma10"", ""topology"": ""small_world"", ""seed"": 3}"
exp2_topology,narma10,small_world,,3.0,mean_degree,10.0,"{""task"": ""narma10"", ""topology"": ""small_world"", ""seed"": 3}"
exp2_topology,narma10,small_world,,3.0,clustering,0.5078856421356421,"{""task"": ""narma10"", ""topology"": ""small_world"", ""seed"": 3}"
exp2_topology,narma10,small_world,,3.0,avg_path_length,3.2553266331658293,"{""task"": ""narma10"", ""topology"": ""small_world"", ""seed"": 3}"
exp2_topology,narma10,small_world,,4.0,nrmse,0.2778771896130769,"{""task"": ""narma10"", ""topology"": ""small_world"", ""seed"": 4}"
exp2_topology,narma10,small_world,,4.0,mean_degree,10.0,"{""task"": ""narma10"", ""topology"": ""small_world"", ""seed"": 4}"
exp2_topology,narma10,small_world,,4.0,clustering,0.4483262570762571,"{""task"": ""narma10"", ""topology"": ""small_world"", ""seed"": 4}"
exp2_topology,narma10,small_world,,4.0,avg_path_length,3.120201005025125,"{""task"": ""narma10"", ""topology"": ""small_world"", ""seed"": 4}"
exp2_topology,narma10,small_world,,5.0,nrmse,0.2559478356853929,"{""task"": ""narma10"", ""topology"": ""small_world"", ""seed"": 5}"
exp2_topology,narma10,small_world,,5.0,mean_degree,10.0,"{""task"": ""narma10"", ""topology"": ""small_world"", ""seed"": 5}"
exp2_topology,narma10,small_world,,5.0,clustering,0.4984238539238539,"{""task"": ""narma10"", ""topology"": ""small_world"", ""seed"": 5}"
exp2_topology,narma10,small_world,,5.0,avg_path_length,3.192110552763819,"{""task"": ""narma10"", ""topology"": ""small_world"", ""seed"": 5}"
exp2_topology,narma10,small_world,,6.0,nrmse,0.235946304238648,"{""task"": ""narma10"", ""topology"": ""small_world"", ""seed"": 6}"
exp2_topology,narma10,small_world,,6.0,mean_degree,10.0,"{""task"": ""narma10"", ""topology"": ""small_world"", ""seed"": 6}"
exp2_topology,narma10,small_world,,6.0,clustering,0.4930955988455988,"{""task"": ""narma10"", ""topology"": ""small_world"", ""seed"": 6}"
exp2_topology,narma10,small_world,,6.0,avg_path_length,3.2341206030150755,"{""task"": ""narma10"", ""topology"": ""small_world"", ""seed"": 6}"
exp2_topology,narma10,small_world,,7.0,nrmse,0.2860951608519767,"{""task"": ""narma10"", ""topology"": ""small_world"", ""seed"": 7}"
exp2_topology,narma10,small_world,,7.0,mean_degree,10.0,"{""task"": ""narma10"", ""topology"": ""small_world"", ""seed"": 7}"
exp2_topology,narma10,small_world,,7.0,clustering,0.4818499555999556,"{""task"": ""narma10"", ""topology"": ""small_world"", ""seed"": 7}"
exp2_topology,narma10,small_world,,7.0,avg_path_length,3.18356783919598,"{""task"": ""narma10"", ""topology"": ""small_world"", ""seed"": 7}"
exp2_topology,narma10,scale_free,,0.0,nrmse,0.2946440113860546,"{""task"": ""narma10"", ""topology"": ""scale_free"", ""seed"": 0}"
exp2_topology,narma10,scale_free,,0.0,mean_degree,9.75,"{""task"": ""narma10"", ""topology"": ""scale_free"", ""seed"": 0}"
exp2_topology,narma10,scale_free,,0.0,clustering,0.1159640200145247,"{""task"": ""narma10"", ""topology"": ""scale_free"", ""seed"": 0}"
exp2_topology,narma10,scale_free,,0.0,avg_path_length,2.469497487437186,"{""task"": ""narma10"", ""topology"": ""scale_free"", ""seed"": 0}"
exp2_topology,narma10,scale_free,,1.0,nrmse,0.2575443321339012,"{""task"": ""narma10"", ""topology"": ""scale_free"", ""seed"": 1}"
exp2_topology,narma10,scale_free,,1.0,mean_degree,9.75,"{""task"": ""narma10"", ""topology"": ""scale_free"", ""seed"": 1}"
exp2_topology,narma10,scale_free,,1.0,clustering,0.1231929677572903,"{""task"": ""narma10"", ""topology"": ""scale_free"", ""seed"": 1}"
exp2_topology,narma10,scale_free,,1.0,avg_path_length,2.481005025125628,"{""task"": ""narma10"", ""topology"": ""scale_free"", ""seed"": 1}"
exp2_topology,narma10,scale_free,,2.0,nrmse,0.2068794624460602,"{""task"": ""narma10"", ""topology"": ""scale_free"", ""seed"": 2}"
exp2_topology,narma10,scale_free,,2.0,mean_degree,9.75,"{""task"": ""narma10"", ""topology"": ""scale_free"", ""seed"": 2}"
exp2_topology,narma10,scale_free,,2.0,clustering,0.1208401075614536,"{""task"": ""narma10"", ""topology"": ""scale_free"", ""seed"": 2}"
exp2_topology,narma10,scale_free,,2.0,avg_path_length,2.454924623115578,"{""task"": ""narma10"", ""topology"": ""scale_free"", ""seed"": 2}"
exp2_topology,narma10,scale_free,,3.0,nrmse,0.288150235733197,"{""task"": ""narma10"", ""topology"": ""scale_free"", ""seed"": 3}"
exp2_topology,narma10,scale_free,,3.0,mean_degree,9.75,"{""task"": ""narma10"", ""topology"": ""scale_free"", ""seed"": 3}"
exp2_topology,narma10,scale_free,,3.0,clustering,0.1256224265578384,"{""task"": ""narma10"", ""topology"": ""scale_free"", ""seed"": 3}"
exp2_topology,narma10,scale_free,,3.0,avg_path_length,2.4716582914572864,"{""task"": ""narma10"", ""topology"": ""scale_free"", ""seed"": 3}"
exp2_topology,narma10,scale_free,,4.0,nrmse,0.2304581104381653,"{""task"": ""narma10"", ""topology"": ""scale_free"", ""seed"": 4}"
exp2_topology,narma10,scale_free,,4.0,mean_degree,9.75,"{""task"": ""narma10"", ""topology"": ""scale_free"", ""seed"": 4}"
exp2_topology,narma10,scale_free,,4.0,clustering,0.1116853217026331,"{""task"": ""narma10"", ""topology"": ""scale_free"", ""seed"": 4}"
exp2_topology,narma10,scale_free,,4.0,avg_path_length,2.4797487437185928,"{""task"": ""narma10"", ""topology"": ""scale_free"", ""seed"": 4}"
exp2_topology,narma10,scale_free,,5.0,nrmse,0.2834682043082089,"{""task"": ""narma10"", ""topology"": ""scale_free"", ""seed"": 5}"
exp2_topology,narma10,scale_free,,5.0,mean_degree,9.75,"{""task"": ""narma10"", ""topology"": ""scale_free"", ""seed"": 5}"
exp2_topology,narma10,scale_free,,5.0,clustering,0.1172413481070218,"{""task"": ""narma10"", ""topology"": ""scale_free"", ""seed"": 5}"
exp2_topology,narma10,scale_free,,5.0,avg_path_length,2.4805527638190954,"{""task"": ""narma10"", ""topology"": ""scale_free"", ""seed"": 5}"
exp2_topology,narma10,scale_free,,6.0,nrmse,0.222814861922861,"{""task"": ""narma10"", ""topology"": ""scale_free"", ""seed"": 6}"
exp2_topology,narma10,scale_free,,6.0,mean_degree,9.75,"{""task"": ""narma10"", ""topology"": ""scale_free"", ""seed"": 6}"
exp2_topology,narma10,scale_free,,6.0,clustering,0.0958591467970859,"{""task"": ""narma10"", ""topology"": ""scale_free"", ""seed"": 6}"
exp2_topology,narma10,scale_free,,6.0,avg_path_length,2.4974371859296483,"{""task"": ""narma10"", ""topology"": ""scale_free"", ""seed"": 6}"
exp2_topology,narma10,scale_free,,7.0,nrmse,0.2399918727402679,"{""task"": ""narma10"", ""topology"": ""scale_free"", ""seed"": 7}"
exp2_topology,narma10,scale_free,,7.0,mean_degree,9.75,"{""task"": ""narma10"", ""topology"": ""scale_free"", ""seed"": 7}"
exp2_topology,narma10,scale_free,,7.0,clustering,0.1287983407088112,"{""task"": ""narma10"", ""topology"": ""scale_free"", ""seed"": 7}"
